X,Y,Z
-0.128906,-0.5668,-1.78215
-0.130945,-0.572432,-1.78347
-0.121094,-0.571543,-1.78326
-0.105469,-0.566492,-1.78208
-0.0976563,-0.566544,-1.78209
-0.0898438,-0.569197,-1.78271
-0.0820313,-0.57086,-1.7831
-0.0808359,-0.572432,-1.78347
-0.0772767,-0.574217,-1.77587
-0.0664063,-0.572641,-1.78258
-0.0722867,-0.574217,-1.77587
-0.0664063,-0.569861,-1.77484
-0.0585938,-0.573799,-1.77765
-0.0585938,-0.568753,-1.78261
-0.0655561,-0.572432,-1.78347
-0.0605399,-0.574217,-1.77587
-0.0516836,-0.572432,-1.78347
-0.00421275,-0.572432,-1.78347
-0.00390625,-0.572562,-1.78292
-0.00390625,-0.572134,-1.7834
-0.00359975,-0.572432,-1.78347
-0.183594,-0.579085,-1.78503
-0.184649,-0.580038,-1.78526
-0.175781,-0.578282,-1.78485
-0.144531,-0.575352,-1.77613
-0.144531,-0.576325,-1.78439
-0.136719,-0.577315,-1.78462
-0.121094,-0.581441,-1.77928
-0.121094,-0.57808,-1.77677
-0.122443,-0.581823,-1.77765
-0.119727,-0.581823,-1.77765
-0.0664063,-0.580993,-1.77746
-0.183594,-0.580647,-1.7854
-0.175781,-0.581316,-1.78556
-0.169293,-0.587644,-1.78704
-0.167969,-0.587856,-1.78614
-0.144531,-0.589079,-1.78093
-0.152344,-0.588697,-1.78256
-0.152344,-0.582514,-1.78584
-0.144531,-0.582896,-1.78593
-0.136719,-0.58928,-1.78007
-0.136719,-0.582761,-1.7859
0.08889,-0.587644,-1.78704
0.0898438,-0.587699,-1.78681
0.0898438,-0.587423,-1.78699
0.110732,-0.587644,-1.78704
0.105469,-0.584072,-1.78621
0.105469,-0.588413,-1.78377
-0.167969,-0.588548,-1.78726
-0.164091,-0.587644,-1.78704
-0.152344,-0.592549,-1.78017
-0.155548,-0.589429,-1.77944
-0.144531,-0.593672,-1.78043
-0.136719,-0.591353,-1.77989
0.183594,-0.589832,-1.78756
0.175781,-0.590721,-1.78777
0.183594,-0.592553,-1.78017
0.175781,-0.593771,-1.78046
-0.457031,-0.603818,-1.78651
0.103437,-0.525012,-1.78037
0.105469,-0.525539,-1.77812
0.105469,-0.523034,-1.7799
0.1075,-0.525012,-1.78037
0.105469,-0.52699,-1.78083
0.0633877,-0.540224,-1.78394
0.0664063,-0.540792,-1.78152
0.0664063,-0.535753,-1.78289
0.0742188,-0.540488,-1.78281
0.0742188,-0.538331,-1.78349
0.0760441,-0.540224,-1.78394
0.0664063,-0.542646,-1.78451
0.0742188,-0.542616,-1.7845
-0.167969,-0.571675,-1.7867
-0.160156,-0.572156,-1.78465
-0.152344,-0.571175,-1.78883
-0.128906,-0.571638,-1.78685
-0.121094,-0.57213,-1.78476
-0.105469,-0.571485,-1.78751
-0.0976563,-0.565565,-1.78989
-0.100781,-0.570647,-1.79108
-0.0898438,-0.564964,-1.78974
-0.0820313,-0.568968,-1.79068
-0.0800956,-0.570647,-1.79108
-0.0674829,-0.570647,-1.79108
-0.0664063,-0.571317,-1.78822
-0.0664063,-0.569885,-1.7909
-0.0585938,-0.56574,-1.78993
-0.0507813,-0.571503,-1.78743
-0.0507813,-0.569711,-1.79086
-0.0492924,-0.570647,-1.79108
-0.00390625,-0.572283,-1.78411
-0.183594,-0.575946,-1.79232
-0.186,-0.578252,-1.79286
-0.175781,-0.576558,-1.79247
-0.167969,-0.576721,-1.7925
-0.166788,-0.580038,-1.78526
-0.167544,-0.578252,-1.79286
-0.160156,-0.573115,-1.78363
-0.152344,-0.574099,-1.79189
-0.155434,-0.580038,-1.78526
-0.154541,-0.578252,-1.79286
-0.144531,-0.578317,-1.79259
-0.145245,-0.578252,-1.79286
-0.136719,-0.579075,-1.78936
-0.132483,-0.578252,-1.79286
-0.128906,-0.574624,-1.79201
-0.126664,-0.578252,-1.79286
-0.121094,-0.579283,-1.78847
-0.0976563,-0.579174,-1.78894
-0.0898438,-0.579013,-1.78962
-0.0898438,-0.574074,-1.78386
-0.0976563,-0.575692,-1.78424
-0.0664063,-0.573086,-1.79165
-0.00390625,-0.572825,-1.78356
0.0919472,-0.570647,-1.79108
0.0898438,-0.571127,-1.78903
0.0898438,-0.572695,-1.79156
-0.183594,-0.579476,-1.79315
-0.175781,-0.579649,-1.79319
-0.167969,-0.587353,-1.78828
-0.167969,-0.578597,-1.79294
-0.152344,-0.580126,-1.7933
0.0898438,-0.587548,-1.78745
